Article category,Total score,Harmful elements,Protective elements,Features someone who overcame,Quotes experts,Statistics from official sources,States how others can help,Lifeline phone number provided,Provides local help resources,Text line provided,Treatment options stated,Provides warning signs,Headline has method,Word 'suicide' used in headline,Photos of grieving,Photos or videos of location,Photos or videos of method,Specific details about method,Name of suicidal individual given,Specific details about place,Name of school,Time of death,Celebrity suicide,Suicide described as inexplicable,Mentions suicide note,Suicide pact featured,Quotes first responders about cause,Sensationalized language,Simple monocausal reason,Non-recommended terminology
individual,-6,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,NR,0,0,1,0,0,0,0,0,0
individual,-7,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
individual,-9,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
individual,-6,6,0,0,0,NR,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NR,1,0,1,0,0,0,0,0,0
individual,-3,3,0,0,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NR,1,0,0,0,0,0,0,0,0
individual,-3,3,0,0,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
individual,-5,7,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
general,5,1,6,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,NR,0,0,0,0,0,0,0,0,0
individual,-8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,NR,1,0,0,0,0,0,0,1,1
individual,-6,6,0,0,0,NR,0,0,0,0,0,0,0,0,0,1,0,1,1,1,NR,1,0,0,0,0,0,0,1,1
individual,-5,5,0,0,0,NR,0,0,0,0,0,0,0,1,0,0,0,1,1,1,NR,1,0,0,0,0,0,0,0,0
individual,-2,7,5,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
individual,-5,5,0,0,0,NR,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1
general,3,1,4,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,NR,0,0,0,0,0,0,0,0,0
individual,0,5,5,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,NR,1,0,1,0,0,0,1,0,1
individual,-5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NR,1,1,0,0,0,0,0,0,1
individual,-6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NR,0,1,0,0,0,0,0,1,1
individual,-1,1,0,0,0,NR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NR,0,0,0,0,0,0,0,0,0
individual,-3,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NR,0,1,0,0,0,0,0,0,1
general,-1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NR,0,0,0,0,0,0,1,0,1
individual,-5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NR,1,0,0,0,0,0,0,0,0
individual,-4,5,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
individual,-6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NR,1,0,1,0,0,0,0,1,1
individual,-5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,NR,1,0,1,0,0,0,0,0,1
individual,-3,3,0,0,0,NR,0,0,0,0,0,0,0,1,0,0,0,1,1,0,NR,0,0,0,0,0,0,0,0,0
individual,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
individual,4,1,5,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,NR,0,0,0,0,0,0,0,0,0
individual,-1,6,5,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,NR,1,0,0,0,0,0,0,1,1
individual,-7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NR,1,1,1,0,0,0,0,1,0
individual,-4,4,0,0,0,NR,0,0,0,0,0,0,0,1,0,0,0,1,1,1,NR,0,0,0,0,0,0,0,0,0
